,eloss,signals,errors
104,286.360484917,586.833324434,23.0477644715
105,286.466809247,545.999996187,22.308402571
106,286.555414687,536.749996187,22.2459964259
107,286.661743417,538.999996187,22.2748522091
108,286.750352527,511.083329521,21.8295425638
109,286.856685657,510.666662854,21.8586076934
110,286.963021197,505.333329521,21.6987016835
111,287.051635967,500.249996187,21.5880901395
112,287.157975907,489.416662854,21.337843687
113,287.264318237,482.833329521,21.1925579902
114,287.352938687,478.333329521,21.0714914393
115,287.459285417,484.999996187,21.2348399595
116,287.565634557,477.083329521,21.1420877035
117,287.654260677,464.666662854,20.8575856181
118,287.760614217,459.749996187,20.7522741671
119,287.866970157,459.416662854,20.7422829039
120,287.955601937,439.916662854,20.2637211009
121,288.061962287,458.166662854,20.6949098414
122,288.150597737,462.416662854,20.7663048812
123,288.256962487,460.249996187,20.7900107448
124,288.363329637,446.583329521,20.4345148518
125,288.451970757,447.249996187,20.4255173795
126,288.558342307,454.833329521,20.6065330124
127,288.664716257,450.333329521,20.5383084858
128,288.753363057,436.583329521,20.2648137067
129,288.859741417,447.499996187,20.4905565981
130,288.966122177,449.333329521,20.5557979819
131,289.054774637,441.249996187,20.3277715889
132,289.161159807,432.416662854,20.1262558361
133,289.267547367,451.999996187,20.5255086303
134,289.356205507,433.583329521,20.1731086697
135,289.462597477,436.749996187,20.2643558756
136,289.551259287,432.916662854,20.159363268
137,289.657655667,431.249996187,20.1441181871
138,289.764054437,437.166662854,20.2247890916
139,289.852721927,432.666662854,20.1960216586
140,289.959125107,433.249996187,20.1293845191
141,290.065530697,432.416662854,20.1311154908
142,290.154203847,420.833329521,19.8766731769
143,290.260613837,432.666662854,20.1971325229
144,290.367026237,428.749996187,20.130030574
145,290.455705067,434.999996187,20.2122073384
146,290.562121867,448.249996187,20.5593488357
147,290.650804367,435.749996187,20.2472892415
148,290.757225577,451.916662854,20.6464275534
149,290.863649187,452.333329521,20.6478537906
150,290.952337367,463.999996187,20.8674341249
151,291.058765377,477.916662854,21.1866595195
152,291.165195797,488.916662854,21.4273789121
153,291.253889657,513.166662854,21.8711666841
154,291.360324477,545.999996187,22.6949739197
155,291.466761717,558.499997459,22.9220752993
156,291.555461247,561.833329521,22.9277802036
157,291.661902877,582.666664126,23.3354397259
158,291.750606087,602.666665397,23.7560526314
159,291.857052127,623.416664126,24.0959552631
160,291.963500587,635.083330792,24.2402502479
161,292.052209457,643.916657767,24.3494090114
162,292.158662317,647.833325706,24.5373347819
163,292.265117587,625.166662854,24.1250511146
164,292.353832137,632.999991101,24.164345191
165,292.460291817,628.999996187,24.1199589533
166,292.566753887,615.583329521,23.9454982732
167,292.655474127,622.083329521,23.9605825042
168,292.761940617,622.416662854,24.0491560982
169,292.850664517,607.583329521,23.7347024124
170,292.957135417,618.833329521,23.9470368168
171,293.063608717,624.166662854,24.0788527473
172,293.152338307,619.666662854,23.9155405176
173,293.258816017,613.499996187,23.7552569057
174,293.365296137,604.833330792,23.7132404737
175,293.454031397,601.333329521,23.6612964905
176,293.560515927,594.166662854,23.3972199956
177,293.667002857,592.416662854,23.4939010551
178,293.755743807,590.499996187,23.3834317212
179,293.862235147,579.249996187,23.1440166413
180,293.950979767,583.749996187,23.2632900621
181,294.057475527,584.083329521,23.3276179598
182,294.163973677,581.749996187,23.2799980668
183,294.252723987,570.249996187,22.9898897643
184,294.359226557,578.666662854,23.1622143526
185,294.465731527,564.666662854,22.9544691223
186,294.554487517,566.249996187,22.9431854933
187,294.660996907,562.249996187,22.9524437636
188,294.767508697,562.583329521,22.8779895472
189,294.856270367,557.499996188,22.7596752644
190,294.962786567,555.833329521,22.7304353799
191,295.051551917,565.666662854,22.9359511497
192,295.158072537,555.749996187,22.6918246873
193,295.264595557,549.916662854,22.6182521915
194,295.353366587,536.583329521,22.4392834378
195,295.459894027,542.333329521,22.5265129384
196,295.566423867,547.666662854,22.6027381327
197,295.655200577,546.166662854,22.5512968371
198,295.761734837,535.166662854,22.3521819828
199,295.850515227,516.999996187,21.9271278786
200,295.957053897,527.999996187,22.2248774277
201,296.063594977,513.499996187,21.8622157097
202,296.152381047,526.499996187,22.1176224103
203,296.258926537,518.499996187,22.014838574
204,296.365474437,538.749996187,22.4755274489
205,296.454266197,500.833329521,21.6492516291
206,296.560818507,504.416662854,21.7484061284
207,296.667373227,509.999996187,21.8053195616
208,296.756170667,501.916662854,21.6878614599
209,296.862729807,497.666662854,21.607396034
210,296.951530927,479.583329521,21.1039829512
211,297.058094477,486.249996187,21.2947773562
212,297.164660437,473.083329521,21.0161024153
213,297.253467247,477.916662854,21.1614842825
214,297.360037617,471.249996187,20.9854858385
215,297.466610407,470.499996188,21.0035023514
216,297.555422897,475.499996187,21.0987808558
217,297.662000097,470.249996187,20.956432907
218,297.750816267,457.166662854,20.7077393988
219,297.857397887,456.749996187,20.6563599396
220,297.963981907,455.833329521,20.7002886509
221,298.052803767,459.749996187,20.7558298176
222,298.159392207,449.999996187,20.5401622617
223,298.265983057,454.999996187,20.5857706138
224,298.354810607,445.416662854,20.4232891595
225,298.461405877,444.999996187,20.4136900819
226,298.550237107,436.916662854,20.2628284442
227,298.656836787,431.333329521,20.1377005788
228,298.763438877,438.416662854,20.2733675654
229,298.852275797,428.499996188,20.0925957274
230,298.958882307,426.499996187,20.0066006623
231,299.065491227,440.999996187,20.4308070533
232,299.154333837,420.833329521,19.9197079216
233,299.260947177,424.583329521,19.9924231814
234,299.367562917,433.499996188,20.2077922417
235,299.456411217,420.666662854,19.9356454859
236,299.563031387,425.416662854,20.0212691917
237,299.651883367,413.166662854,19.6972633185
238,299.758507947,425.416662854,20.0164210759
239,299.865134937,419.833329521,19.9031308526
240,299.953992607,412.749996188,19.7515053628
241,300.060624027,415.333329521,19.737777802
242,300.167257847,424.916662854,20.0564231022
243,300.256121207,408.333329521,19.6484661605
244,300.362759457,405.166662854,19.537438282
245,300.451626497,410.416662854,19.6590961139
246,300.558269157,408.833329521,19.6539520212
247,300.664914237,420.166662854,19.9186849273
248,300.753786967,406.749996188,19.6048395201
249,300.860436467,409.249996187,19.7060134078
250,300.967088367,391.749996187,19.2182287239
251,301.055966797,403.916662854,19.5357629462
252,301.162623127,398.666662854,19.4569138372
253,301.251505237,404.999996187,19.566909676
254,301.358165987,418.833329521,19.9523972923
255,301.464829147,417.166662854,19.8473025427
256,301.553716947,424.916662854,20.0968401538
257,301.660384527,413.083329521,19.7779668788
258,301.767054517,410.999996188,19.6589069024
259,301.855948017,407.833329521,19.6881211169
260,301.962622427,420.666662854,19.9204946615
261,302.051519617,423.166662854,19.958574189
262,302.158198447,427.416662854,20.0850642416
263,302.264879697,415.583329521,19.7596361721
264,302.353782577,417.666662854,19.8638702182
265,302.460468247,419.083329521,19.8745721165
266,302.567156327,436.249996187,20.2257623783
267,302.656064897,431.416662854,20.2117247084
268,302.762757407,430.083329521,20.13574434
269,302.851669667,428.166662854,20.0872628385
270,302.958366587,436.749996187,20.3790346247
271,303.065065927,431.416662854,20.1572449508
272,303.153983887,433.583329521,20.2631324982
273,303.260687647,439.249996187,20.3588644397
274,303.367393827,427.333329521,19.9817440437
275,303.456317477,444.583329521,20.5041496363
276,303.563028077,445.499996187,20.475541504
277,303.651955417,443.916662854,20.500537006
278,303.758670447,430.499996187,20.0707528808
279,303.865387877,440.583329521,20.3328889196
280,305.590988017,433.916662854,20.260923631
281,307.459616997,464.833329521,20.8856899977
282,309.382407287,450.083329521,20.5273985572
283,311.395054127,401.833329521,19.4713062353
284,313.479849167,371.999996188,18.7856656832
285,315.636887377,367.166665397,18.6537388108
286,317.884106347,364.583332063,18.5974148226
287,320.185937887,351.49999873,18.2902921317
288,322.578174917,340.000003815,18.0027904681
289,325.043087427,344.666667939,18.1428823907
290,327.580788097,339.250003815,18.0632589544
291,330.209278827,352.166670482,18.3347729378
292,332.892917637,349.750003815,18.2960382213
293,335.667609897,318.666670482,17.4718884831
294,338.515597027,311.416670482,17.2931714426
295,341.437009757,306.000003815,17.1631750811
296,344.431982307,304.750003815,17.1436588528
297,347.500652367,309.750003815,17.2784729038
298,350.643161177,296.750003815,16.8603360093
299,353.877628857,299.250003815,16.9682955837
300,357.168265467,299.333337148,17.0258398013
301,360.551186697,299.083337148,16.9780341371
302,364.008573517,292.000003815,16.819153662
303,367.540585847,287.000003815,16.6670349716
304,371.147387227,289.166670482,16.7203101928
305,374.829144867,284.083337148,16.5983884964
306,378.586029597,271.916670482,16.2666547842
307,382.418215957,270.916670482,16.2164594179
308,386.325882167,270.250003815,16.1782846731
309,390.309210187,269.000003815,16.1212169149
310,394.368385707,256.083337148,15.7349525245
311,398.503598177,253.416670482,15.6428401
312,402.715040827,257.416670482,15.7321835883
313,407.002910707,262.250003815,15.8702469054
314,411.385602457,260.000003815,15.8449968223
315,415.826950197,246.5,15.3586660306
316,420.345339677,249.583335877,15.4501504999
317,424.922737987,248.166667938,15.3597640969
318,429.595834557,237.25,14.9843788718
319,434.346621887,250.333334605,15.3987289545
320,439.175324317,250.0,15.3989420191
321,443.862353257,241.25,15.0210758475
